,FIPS_Code,State,Area_Name,Est_Population
0,0,US,United States,334914895.0
1,1000,AL,Alabama,5108468.0
2,1001,AL,Autauga County,60342.0
3,1003,AL,Baldwin County,253507.0
4,1005,AL,Barbour County,24585.0
5,1007,AL,Bibb County,21868.0
6,1009,AL,Blount County,59816.0
7,1011,AL,Bullock County,9897.0
8,1013,AL,Butler County,18382.0
9,1015,AL,Calhoun County,116429.0
10,1017,AL,Chambers County,34079.0
11,1019,AL,Cherokee County,25666.0
12,1021,AL,Chilton County,46431.0
13,1023,AL,Choctaw County,12252.0
14,1025,AL,Clarke County,22337.0
15,1027,AL,Clay County,14111.0
16,1029,AL,Cleburne County,15639.0
17,1031,AL,Coffee County,55643.0
18,1033,AL,Colbert County,58361.0
19,1035,AL,Conecuh County,11174.0
20,1037,AL,Coosa County,10268.0
21,1039,AL,Covington County,37952.0
22,1041,AL,Crenshaw County,13101.0
23,1043,AL,Cullman County,92016.0
24,1045,AL,Dale County,49871.0
25,1047,AL,Dallas County,36165.0
26,1049,AL,DeKalb County,72569.0
27,1051,AL,Elmore County,90441.0
28,1053,AL,Escambia County,36558.0
29,1055,AL,Etowah County,103241.0
30,1057,AL,Fayette County,15967.0
31,1059,AL,Franklin County,31802.0
32,1061,AL,Geneva County,26988.0
33,1063,AL,Greene County,7341.0
34,1065,AL,Hale County,14888.0
35,1067,AL,Henry County,17899.0
36,1069,AL,Houston County,108462.0
37,1071,AL,Jackson County,53467.0
38,1073,AL,Jefferson County,662895.0
39,1075,AL,Lamar County,13661.0
40,1077,AL,Lauderdale County,96814.0
41,1079,AL,Lawrence County,33502.0
42,1081,AL,Lee County,183215.0
43,1083,AL,Limestone County,114654.0
44,1085,AL,Lowndes County,9717.0
45,1087,AL,Macon County,18370.0
46,1089,AL,Madison County,412600.0
47,1091,AL,Marengo County,18684.0
48,1093,AL,Marion County,29244.0
49,1095,AL,Marshall County,100756.0
50,1097,AL,Mobile County,411640.0
51,1099,AL,Monroe County,19229.0
52,1101,AL,Montgomery County,224980.0
53,1103,AL,Morgan County,125133.0
54,1105,AL,Perry County,7738.0
55,1107,AL,Pickens County,18688.0
56,1109,AL,Pike County,33137.0
57,1111,AL,Randolph County,22786.0
58,1113,AL,Russell County,58744.0
59,1115,AL,St. Clair County,95552.0
60,1117,AL,Shelby County,233000.0
61,1119,AL,Sumter County,11727.0
62,1121,AL,Talladega County,81132.0
63,1123,AL,Tallapoosa County,40677.0
64,1125,AL,Tuscaloosa County,237373.0
65,1127,AL,Walker County,64728.0
66,1129,AL,Washington County,15022.0
67,1131,AL,Wilcox County,9944.0
68,1133,AL,Winston County,23611.0
69,2000,AK,Alaska,733406.0
70,2013,AK,Aleutians East Borough,3461.0
71,2016,AK,Aleutians West Census Area,5160.0
72,2020,AK,Anchorage Municipality,286075.0
73,2050,AK,Bethel Census Area,18224.0
74,2060,AK,Bristol Bay Borough,844.0
75,2063,AK,Chugach Census Area,6769.0
76,2066,AK,Copper River Census Area,2674.0
77,2068,AK,Denali Borough,1584.0
78,2070,AK,Dillingham Census Area,4607.0
79,2090,AK,Fairbanks North Star Borough,94840.0
80,2100,AK,Haines Borough,2070.0
81,2105,AK,Hoonah-Angoon Census Area,2262.0
82,2110,AK,Juneau City and Borough,31555.0
83,2122,AK,Kenai Peninsula Borough,61223.0
84,2130,AK,Ketchikan Gateway Borough,13738.0
85,2150,AK,Kodiak Island Borough,12565.0
86,2158,AK,Kusilvak Census Area,8001.0
87,2164,AK,Lake and Peninsula Borough,1331.0
88,2170,AK,Matanuska-Susitna Borough,115239.0
89,2180,AK,Nome Census Area,9763.0
90,2185,AK,North Slope Borough,10603.0
91,2188,AK,Northwest Arctic Borough,7361.0
92,2195,AK,Petersburg Borough,3427.0
93,2198,AK,Prince of Wales-Hyder Census Area,5696.0
94,2220,AK,Sitka City and Borough,8282.0
95,2230,AK,Skagway Municipality,1095.0
96,2240,AK,Southeast Fairbanks Census Area,7077.0
97,2275,AK,Wrangell City and Borough,2064.0
98,2282,AK,Yakutat City and Borough,687.0
99,2290,AK,Yukon-Koyukuk Census Area,5129.0
100,4000,AZ,Arizona,7431344.0
