,FIPS_Code,State,Area_Name,Poverty_Num,Poverty_Rate
0,0,US,United States,40763043.0,12.5
1,1000,AL,Alabama,780043.0,15.700000000000001
2,1001,AL,Autauga County,7004.0,11.700000000000001
3,1003,AL,Baldwin County,24942.0,10.0
4,1005,AL,Barbour County,5585.0,25.5
5,1007,AL,Bibb County,3870.0,19.400000000000002
6,1009,AL,Blount County,7590.0,12.8
7,1011,AL,Bullock County,2779.0,33.6
8,1013,AL,Butler County,4263.0,23.6
9,1015,AL,Calhoun County,22174.0,20.1
10,1017,AL,Chambers County,5661.0,17.1
11,1019,AL,Cherokee County,3949.0,15.600000000000001
12,1021,AL,Chilton County,7026.0,15.3
13,1023,AL,Choctaw County,3017.0,24.8
14,1025,AL,Clarke County,4174.0,19.0
15,1027,AL,Clay County,2337.0,16.900000000000002
16,1029,AL,Cleburne County,2432.0,15.8
17,1031,AL,Coffee County,9055.0,16.5
18,1033,AL,Colbert County,8912.0,15.4
19,1035,AL,Conecuh County,2920.0,26.5
20,1037,AL,Coosa County,1809.0,18.2
21,1039,AL,Covington County,6204.0,16.7
22,1041,AL,Crenshaw County,2520.0,19.5
23,1043,AL,Cullman County,14081.0,15.5
24,1045,AL,Dale County,8124.0,16.6
25,1047,AL,Dallas County,11197.0,31.400000000000002
26,1049,AL,DeKalb County,15494.0,21.6
27,1051,AL,Elmore County,10562.0,12.5
28,1053,AL,Escambia County,7331.0,21.3
29,1055,AL,Etowah County,19921.0,19.6
30,1057,AL,Fayette County,2542.0,16.2
31,1059,AL,Franklin County,7035.0,22.5
32,1061,AL,Geneva County,5109.0,19.200000000000003
33,1063,AL,Greene County,2255.0,31.0
34,1065,AL,Hale County,3383.0,23.0
35,1067,AL,Henry County,2904.0,16.400000000000002
36,1069,AL,Houston County,17707.0,16.5
37,1071,AL,Jackson County,8437.0,16.0
38,1073,AL,Jefferson County,103120.0,16.0
39,1075,AL,Lamar County,2217.0,16.400000000000002
40,1077,AL,Lauderdale County,12563.0,13.600000000000001
41,1079,AL,Lawrence County,4710.0,14.200000000000001
42,1081,AL,Lee County,31839.0,17.900000000000002
43,1083,AL,Limestone County,9604.0,8.6
44,1085,AL,Lowndes County,2799.0,29.400000000000002
45,1087,AL,Macon County,4712.0,28.8
46,1089,AL,Madison County,41983.0,10.5
47,1091,AL,Marengo County,4335.0,23.5
48,1093,AL,Marion County,5415.0,19.0
49,1095,AL,Marshall County,16432.0,16.5
50,1097,AL,Mobile County,65684.0,16.3
51,1099,AL,Monroe County,3627.0,19.1
52,1101,AL,Montgomery County,39395.0,18.3
53,1103,AL,Morgan County,14759.0,12.0
54,1105,AL,Perry County,2501.0,33.800000000000004
55,1107,AL,Pickens County,3587.0,21.5
56,1109,AL,Pike County,7364.0,23.8
57,1111,AL,Randolph County,3508.0,15.9
58,1113,AL,Russell County,10957.0,18.900000000000002
59,1115,AL,St. Clair County,10089.0,10.8
60,1117,AL,Shelby County,19207.0,8.4
61,1119,AL,Sumter County,3607.0,33.5
62,1121,AL,Talladega County,13329.0,17.0
63,1123,AL,Tallapoosa County,6041.0,15.100000000000001
64,1125,AL,Tuscaloosa County,41429.0,19.200000000000003
65,1127,AL,Walker County,11099.0,17.5
66,1129,AL,Washington County,2778.0,18.7
67,1131,AL,Wilcox County,3194.0,32.7
68,1133,AL,Winston County,3855.0,16.6
69,2000,AK,Alaska,75594.0,10.5
70,2013,AK,Aleutians East Borough,624.0,18.0
71,2016,AK,Aleutians West Census Area,492.0,10.0
72,2020,AK,Anchorage Borough,24807.0,8.9
73,2050,AK,Bethel Census Area,5242.0,29.3
74,2060,AK,Bristol Bay Borough,98.0,11.700000000000001
75,2063,AK,Chugach Census Area,570.0,8.700000000000001
76,2066,AK,Copper River Census Area,380.0,14.200000000000001
77,2068,AK,Denali Borough,123.0,7.800000000000001
78,2070,AK,Dillingham Census Area,1073.0,23.400000000000002
79,2090,AK,Fairbanks North Star Borough,7015.0,7.6000000000000005
80,2100,AK,Haines Borough,207.0,10.0
81,2105,AK,Hoonah-Angoon Census Area,390.0,17.2
82,2110,AK,Juneau Borough,2815.0,9.1
83,2122,AK,Kenai Peninsula Borough,6885.0,11.5
84,2130,AK,Ketchikan Gateway Borough,1269.0,9.3
85,2150,AK,Kodiak Island Borough,1035.0,8.5
86,2158,AK,Kusilvak Census Area,2455.0,30.8
87,2164,AK,Lake and Peninsula Borough,271.0,20.400000000000002
88,2170,AK,Matanuska-Susitna Borough,10906.0,9.700000000000001
89,2180,AK,Nome Census Area,1981.0,20.700000000000003
90,2185,AK,North Slope Borough,1261.0,12.0
91,2188,AK,Northwest Arctic Borough,1390.0,19.1
92,2195,AK,Petersburg Borough,276.0,8.4
93,2198,AK,Prince of Wales-Hyder Census Area,892.0,15.700000000000001
94,2220,AK,Sitka Borough,755.0,9.3
95,2230,AK,Skagway Municipality,64.0,5.9
96,2240,AK,Southeast Fairbanks Census Area,857.0,12.200000000000001
97,2275,AK,Wrangell City and Borough,239.0,11.700000000000001
98,2282,AK,Yakutat Borough,105.0,15.3
99,2290,AK,Yukon-Koyukuk Census Area,1117.0,21.900000000000002
100,4000,AZ,Arizona,917925.0,12.600000000000001
101,4001,AZ,Apache County,18929.0,29.6
102,4003,AZ,Cochise County,19759.0,16.3
103,4005,AZ,Coconino County,23888.0,17.8
104,4007,AZ,Gila County,9431.0,17.7
105,4009,AZ,Graham County,6397.0,17.3
106,4011,AZ,Greenlee County,900.0,9.700000000000001
107,4012,AZ,La Paz County,3097.0,18.7
108,4013,AZ,Maricopa County,498844.0,11.100000000000001
109,4015,AZ,Mohave County,36816.0,16.8
110,4017,AZ,Navajo County,26533.0,24.700000000000003
111,4019,AZ,Pima County,144676.0,14.0
112,4021,AZ,Pinal County,54702.0,11.8
113,4023,AZ,Santa Cruz County,9831.0,20.1
114,4025,AZ,Yavapai County,31465.0,12.8
115,4027,AZ,Yuma County,32657.0,15.9
116,5000,AR,Arkansas,459700.0,15.4
117,5001,AR,Arkansas County,2697.0,16.8
118,5003,AR,Ashley County,3338.0,18.400000000000002
119,5005,AR,Baxter County,6746.0,16.0
120,5007,AR,Benton County,23885.0,7.800000000000001
121,5009,AR,Boone County,5660.0,14.9
122,5011,AR,Bradley County,2314.0,23.200000000000003
123,5013,AR,Calhoun County,639.0,14.3
124,5015,AR,Carroll County,4232.0,14.8
125,5017,AR,Chicot County,2621.0,29.700000000000003
126,5019,AR,Clark County,3512.0,18.900000000000002
127,5021,AR,Clay County,2454.0,17.5
128,5023,AR,Cleburne County,3387.0,13.5
129,5025,AR,Cleveland County,1147.0,15.700000000000001
130,5027,AR,Columbia County,4704.0,23.3
131,5029,AR,Conway County,3566.0,17.1
132,5031,AR,Craighead County,17811.0,16.1
133,5033,AR,Crawford County,8147.0,13.3
134,5035,AR,Crittenden County,9578.0,20.6
135,5037,AR,Cross County,3091.0,19.1
136,5039,AR,Dallas County,1162.0,19.6
137,5041,AR,Desha County,2598.0,25.0
138,5043,AR,Drew County,3365.0,20.6
139,5045,AR,Faulkner County,16042.0,12.9
140,5047,AR,Franklin County,3260.0,19.0
141,5049,AR,Fulton County,2136.0,17.5
142,5051,AR,Garland County,18604.0,18.900000000000002
143,5053,AR,Grant County,2018.0,11.100000000000001
144,5055,AR,Greene County,7390.0,16.2
145,5057,AR,Hempstead County,3171.0,16.6
146,5059,AR,Hot Spring County,5155.0,16.900000000000002
147,5061,AR,Howard County,2190.0,17.8
148,5063,AR,Independence County,5006.0,13.5
149,5065,AR,Izard County,2637.0,20.3
150,5067,AR,Jackson County,3513.0,24.6
151,5069,AR,Jefferson County,14081.0,24.3
152,5071,AR,Johnson County,4377.0,17.1
153,5073,AR,Lafayette County,1372.0,22.8
154,5075,AR,Lawrence County,2882.0,18.3
155,5077,AR,Lee County,2507.0,38.7
156,5079,AR,Lincoln County,2327.0,26.200000000000003
157,5081,AR,Little River County,2060.0,17.7
158,5083,AR,Logan County,3504.0,16.6
159,5085,AR,Lonoke County,7223.0,9.600000000000001
160,5087,AR,Madison County,2601.0,14.8
161,5089,AR,Marion County,3009.0,17.400000000000002
