,FIPS_Code,State,Area_Name,Employed_Num,Unemployed_Num,Unemployed_Rate
0,0,US,United States,160623678.0,6065878.0,3.6
1,1000,AL,Alabama,2250472.0,57659.0,2.5
2,1001,AL,"Autauga County, AL",26409.0,591.0,2.2
3,1003,AL,"Baldwin County, AL",102029.0,2380.0,2.3000000000000003
4,1005,AL,"Barbour County, AL",7592.0,352.0,4.4
5,1007,AL,"Bibb County, AL",8556.0,216.0,2.5
6,1009,AL,"Blount County, AL",25282.0,554.0,2.1
7,1011,AL,"Bullock County, AL",4393.0,107.0,2.4000000000000004
8,1013,AL,"Butler County, AL",8746.0,263.0,2.9000000000000004
9,1015,AL,"Calhoun County, AL",44256.0,1284.0,2.8000000000000003
10,1017,AL,"Chambers County, AL",15884.0,388.0,2.4000000000000004
11,1019,AL,"Cherokee County, AL",11570.0,284.0,2.4000000000000004
12,1021,AL,"Chilton County, AL",19848.0,445.0,2.2
13,1023,AL,"Choctaw County, AL",4052.0,169.0,4.0
14,1025,AL,"Clarke County, AL",7212.0,379.0,5.0
15,1027,AL,"Clay County, AL",5805.0,140.0,2.4000000000000004
16,1029,AL,"Cleburne County, AL",6064.0,141.0,2.3000000000000003
17,1031,AL,"Coffee County, AL",21235.0,546.0,2.5
18,1033,AL,"Colbert County, AL",23355.0,708.0,2.9000000000000004
19,1035,AL,"Conecuh County, AL",4108.0,151.0,3.5
20,1037,AL,"Coosa County, AL",4433.0,116.0,2.6
21,1039,AL,"Covington County, AL",14464.0,408.0,2.7
22,1041,AL,"Crenshaw County, AL",5996.0,164.0,2.7
23,1043,AL,"Cullman County, AL",38961.0,812.0,2.0
24,1045,AL,"Dale County, AL",20661.0,537.0,2.5
25,1047,AL,"Dallas County, AL",12803.0,734.0,5.4
26,1049,AL,"DeKalb County, AL",30300.0,704.0,2.3000000000000003
27,1051,AL,"Elmore County, AL",37772.0,822.0,2.1
28,1053,AL,"Escambia County, AL",13990.0,450.0,3.1
29,1055,AL,"Etowah County, AL",38328.0,1102.0,2.8000000000000003
30,1057,AL,"Fayette County, AL",6392.0,190.0,2.9000000000000004
31,1059,AL,"Franklin County, AL",13881.0,366.0,2.6
32,1061,AL,"Geneva County, AL",10942.0,274.0,2.4000000000000004
33,1063,AL,"Greene County, AL",2715.0,136.0,4.800000000000001
34,1065,AL,"Hale County, AL",5779.0,199.0,3.3000000000000003
35,1067,AL,"Henry County, AL",6873.0,186.0,2.6
36,1069,AL,"Houston County, AL",47108.0,1249.0,2.6
37,1071,AL,"Jackson County, AL",22899.0,583.0,2.5
38,1073,AL,"Jefferson County, AL",317407.0,7981.0,2.5
39,1075,AL,"Lamar County, AL",5598.0,161.0,2.8000000000000003
40,1077,AL,"Lauderdale County, AL",42182.0,1099.0,2.5
41,1079,AL,"Lawrence County, AL",14583.0,337.0,2.3000000000000003
42,1081,AL,"Lee County, AL",79373.0,1863.0,2.3000000000000003
43,1083,AL,"Limestone County, AL",48881.0,1031.0,2.1
44,1085,AL,"Lowndes County, AL",3341.0,160.0,4.6000000000000005
45,1087,AL,"Macon County, AL",7740.0,255.0,3.2
46,1089,AL,"Madison County, AL",201862.0,4218.0,2.0
47,1091,AL,"Marengo County, AL",7332.0,253.0,3.3000000000000003
48,1093,AL,"Marion County, AL",13131.0,395.0,2.9000000000000004
49,1095,AL,"Marshall County, AL",45260.0,950.0,2.1
50,1097,AL,"Mobile County, AL",184271.0,5896.0,3.1
51,1099,AL,"Monroe County, AL",6690.0,299.0,4.3
52,1101,AL,"Montgomery County, AL",105043.0,3040.0,2.8000000000000003
53,1103,AL,"Morgan County, AL",60624.0,1229.0,2.0
54,1105,AL,"Perry County, AL",2830.0,149.0,5.0
55,1107,AL,"Pickens County, AL",7574.0,236.0,3.0
56,1109,AL,"Pike County, AL",15684.0,440.0,2.7
57,1111,AL,"Randolph County, AL",9401.0,236.0,2.4000000000000004
58,1113,AL,"Russell County, AL",22901.0,649.0,2.8000000000000003
59,1115,AL,"St. Clair County, AL",41549.0,907.0,2.1
60,1117,AL,"Shelby County, AL",120026.0,2256.0,1.8
61,1119,AL,"Sumter County, AL",4415.0,169.0,3.7
62,1121,AL,"Talladega County, AL",35708.0,1019.0,2.8000000000000003
63,1123,AL,"Tallapoosa County, AL",16947.0,438.0,2.5
64,1125,AL,"Tuscaloosa County, AL",103714.0,2485.0,2.3000000000000003
65,1127,AL,"Walker County, AL",24998.0,679.0,2.6
66,1129,AL,"Washington County, AL",8915.0,235.0,2.6
67,1131,AL,"Wilcox County, AL",2324.0,202.0,8.0
68,1133,AL,"Winston County, AL",9482.0,266.0,2.7
69,2000,AK,Alaska,342005.0,15089.0,4.2
70,2013,AK,"Aleutians East Borough, AK",2469.0,53.0,2.1
71,2016,AK,"Aleutians West Census Area, AK",3446.0,107.0,3.0
72,2020,AK,"Anchorage Borough/municipality, AK",145654.0,5169.0,3.4000000000000004
73,2050,AK,"Bethel Census Area, AK",6088.0,655.0,9.700000000000001
74,2060,AK,"Bristol Bay Borough, AK",444.0,17.0,3.7
75,2063,AK,"Chugach Census Area, AK",3297.0,163.0,4.7
76,2066,AK,"Copper River Census Area, AK",1273.0,105.0,7.6000000000000005
77,2068,AK,"Denali Borough, AK",979.0,62.0,6.0
78,2070,AK,"Dillingham Census Area, AK",1619.0,110.0,6.4
79,2090,AK,"Fairbanks North Star Borough, AK",43768.0,1731.0,3.8000000000000003
80,2100,AK,"Haines Borough, AK",1038.0,73.0,6.6000000000000005
81,2105,AK,"Hoonah-Angoon Census Area, AK",1217.0,72.0,5.6000000000000005
82,2110,AK,"Juneau Borough/city, AK",16948.0,523.0,3.0
83,2122,AK,"Kenai Peninsula Borough, AK",26841.0,1329.0,4.7
84,2130,AK,"Ketchikan Gateway Borough, AK",6630.0,253.0,3.7
85,2150,AK,"Kodiak Island Borough, AK",5720.0,264.0,4.4
86,2158,AK,"Kusilvak Census Area, AK",1952.0,346.0,15.100000000000001
87,2164,AK,"Lake and Peninsula Borough, AK",624.0,39.0,5.9
88,2170,AK,"Matanuska-Susitna Borough, AK",47311.0,2399.0,4.800000000000001
89,2180,AK,"Nome Census Area, AK",3738.0,311.0,7.7
90,2185,AK,"North Slope Borough, AK",2913.0,151.0,4.9
91,2188,AK,"Northwest Arctic Borough, AK",2533.0,270.0,9.600000000000001
92,2195,AK,"Petersburg Borough, AK",1327.0,71.0,5.1000000000000005
93,2198,AK,"Prince of Wales-Hyder Census Area, AK",2490.0,180.0,6.7
94,2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,,
95,2220,AK,"Sitka Borough/city, AK",4385.0,134.0,3.0
96,2230,AK,"Skagway Municipality, AK",728.0,45.0,5.800000000000001
97,2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",,,
98,2240,AK,"Southeast Fairbanks Census Area, AK",3220.0,177.0,5.2
99,2261,AK,"Valdez-Cordova Census Area, AK",,,
100,2275,AK,"Wrangell Borough/city, AK",881.0,45.0,4.9
101,2280,AK,"Wrangell-Petersburg Census Area, AK",,,
102,2282,AK,"Yakutat Borough/city, AK",296.0,19.0,6.0
103,2290,AK,"Yukon-Koyukuk Census Area, AK",2176.0,216.0,9.0
104,4000,AZ,Arizona,3546508.0,144466.0,3.9000000000000004
105,4001,AZ,"Apache County, AZ",16842.0,1441.0,7.9
106,4003,AZ,"Cochise County, AZ",47337.0,2248.0,4.5
107,4005,AZ,"Coconino County, AZ",72034.0,3158.0,4.2
108,4007,AZ,"Gila County, AZ",19763.0,889.0,4.3
109,4009,AZ,"Graham County, AZ",16056.0,614.0,3.7
110,4011,AZ,"Greenlee County, AZ",4587.0,135.0,2.9000000000000004
111,4012,AZ,"La Paz County, AZ",8660.0,433.0,4.800000000000001
112,4013,AZ,"Maricopa County, AZ",2357541.0,83487.0,3.4000000000000004
113,4015,AZ,"Mohave County, AZ",86020.0,4062.0,4.5
114,4017,AZ,"Navajo County, AZ",37829.0,2272.0,5.7
115,4019,AZ,"Pima County, AZ",475422.0,18914.0,3.8000000000000003
116,4021,AZ,"Pinal County, AZ",195853.0,8399.0,4.1000000000000005
117,4023,AZ,"Santa Cruz County, AZ",17760.0,1456.0,7.6000000000000005
118,4025,AZ,"Yavapai County, AZ",105223.0,3941.0,3.6
119,4027,AZ,"Yuma County, AZ",85581.0,13016.0,13.200000000000001
120,5000,AR,Arkansas,1332876.0,44781.0,3.3000000000000003
121,5001,AR,"Arkansas County, AR",8858.0,242.0,2.7
122,5003,AR,"Ashley County, AR",6087.0,363.0,5.6000000000000005
123,5005,AR,"Baxter County, AR",16204.0,602.0,3.6
124,5007,AR,"Benton County, AR",151167.0,3785.0,2.4000000000000004
125,5009,AR,"Boone County, AR",15352.0,496.0,3.1
126,5011,AR,"Bradley County, AR",3850.0,187.0,4.6000000000000005
127,5013,AR,"Calhoun County, AR",2284.0,69.0,2.9000000000000004
128,5015,AR,"Carroll County, AR",11938.0,361.0,2.9000000000000004
129,5017,AR,"Chicot County, AR",2687.0,164.0,5.800000000000001
130,5019,AR,"Clark County, AR",8098.0,401.0,4.7
131,5021,AR,"Clay County, AR",5159.0,222.0,4.1000000000000005
132,5023,AR,"Cleburne County, AR",8642.0,354.0,3.9000000000000004
133,5025,AR,"Cleveland County, AR",2948.0,106.0,3.5
134,5027,AR,"Columbia County, AR",8388.0,376.0,4.3
135,5029,AR,"Conway County, AR",8001.0,313.0,3.8000000000000003
136,5031,AR,"Craighead County, AR",55816.0,1576.0,2.7
137,5033,AR,"Crawford County, AR",25622.0,892.0,3.4000000000000004
138,5035,AR,"Crittenden County, AR",19500.0,858.0,4.2
139,5037,AR,"Cross County, AR",6584.0,232.0,3.4000000000000004
140,5039,AR,"Dallas County, AR",2543.0,104.0,3.9000000000000004
141,5041,AR,"Desha County, AR",4663.0,225.0,4.6000000000000005
142,5043,AR,"Drew County, AR",7063.0,306.0,4.2
143,5045,AR,"Faulkner County, AR",62538.0,1856.0,2.9000000000000004
144,5047,AR,"Franklin County, AR",7195.0,239.0,3.2
145,5049,AR,"Fulton County, AR",4349.0,174.0,3.8000000000000003
146,5051,AR,"Garland County, AR",40036.0,1534.0,3.7
147,5053,AR,"Grant County, AR",8362.0,246.0,2.9000000000000004
148,5055,AR,"Greene County, AR",19041.0,652.0,3.3000000000000003
149,5057,AR,"Hempstead County, AR",8833.0,308.0,3.4000000000000004
150,5059,AR,"Hot Spring County, AR",13218.0,486.0,3.5
151,5061,AR,"Howard County, AR",5065.0,181.0,3.5
